colors,hymnal_id,image,top_color,rgb
"[{'color': {'red': 233, 'green': 197, 'blue': 146, 'alpha': None}, 'score': 0.23194672167301178, 'pixelFraction': 0.01876876875758171}, {'color': {'red': 250, 'green': 230, 'blue': 194, 'alpha': None}, 'score': 0.19762073457241058, 'pixelFraction': 0.027982527390122414}, {'color': {'red': 165, 'green': 27, 'blue': 39, 'alpha': None}, 'score': 0.0846102312207222, 'pixelFraction': 0.023205023258924484}, {'color': {'red': 2, 'green': 1, 'blue': 1, 'alpha': None}, 'score': 0.07664155215024948, 'pixelFraction': 0.8238465785980225}, {'color': {'red': 170, 'green': 150, 'blue': 120, 'alpha': None}, 'score': 0.02348308637738228, 'pixelFraction': 0.007371007464826107}, {'color': {'red': 99, 'green': 16, 'blue': 24, 'alpha': None}, 'score': 0.023170551285147667, 'pixelFraction': 0.010647010989487171}, {'color': {'red': 169, 'green': 75, 'blue': 68, 'alpha': None}, 'score': 0.00473628006875515, 'pixelFraction': 0.0012285012053325772}, {'color': {'red': 246, 'green': 215, 'blue': 162, 'alpha': None}, 'score': 0.15010014176368713, 'pixelFraction': 0.011056510731577873}, {'color': {'red': 92, 'green': 72, 'blue': 73, 'alpha': None}, 'score': 0.0014512988273054361, 'pixelFraction': 0.0002730002743192017}, {'color': {'red': 252, 'green': 226, 'blue': 130, 'alpha': None}, 'score': 0.06214775890111923, 'pixelFraction': 0.0032760032918304205}]",48720,mobile_background_image,"{'red': 233, 'green': 197, 'blue': 146, 'alpha': None}",[233 197 146]
"[{'color': {'red': 183, 'green': 97, 'blue': 58, 'alpha': None}, 'score': 0.0705031007528305, 'pixelFraction': 0.0038554216735064983}, {'color': {'red': 3, 'green': 2, 'blue': 1, 'alpha': None}, 'score': 0.07037903368473053, 'pixelFraction': 0.6783132553100586}, {'color': {'red': 73, 'green': 131, 'blue': 60, 'alpha': None}, 'score': 0.05244417488574982, 'pixelFraction': 0.00473895575851202}, {'color': {'red': 84, 'green': 43, 'blue': 28, 'alpha': None}, 'score': 0.0211398396641016, 'pixelFraction': 0.023614458739757538}, {'color': {'red': 65, 'green': 93, 'blue': 49, 'alpha': None}, 'score': 0.018234826624393463, 'pixelFraction': 0.009558232501149178}, {'color': {'red': 241, 'green': 238, 'blue': 235, 'alpha': None}, 'score': 0.007640708703547716, 'pixelFraction': 0.005301204975694418}, {'color': {'red': 222, 'green': 176, 'blue': 187, 'alpha': None}, 'score': 0.0027750900480896235, 'pixelFraction': 0.0009638554183766246}, {'color': {'red': 211, 'green': 137, 'blue': 179, 'alpha': None}, 'score': 0.0012177597964182496, 'pixelFraction': 0.00024096385459415615}, {'color': {'red': 189, 'green': 95, 'blue': 44, 'alpha': None}, 'score': 0.058852020651102066, 'pixelFraction': 0.0017670682864263654}, {'color': {'red': 164, 'green': 104, 'blue': 57, 'alpha': None}, 'score': 0.0538843609392643, 'pixelFraction': 0.01092369481921196}]",48720,desktop_background_image,"{'red': 183, 'green': 97, 'blue': 58, 'alpha': None}",[183  97  58]
"[{'color': {'red': 188, 'green': 84, 'blue': 7, 'alpha': None}, 'score': 0.1273145228624344, 'pixelFraction': 0.021897809579968452}, {'color': {'red': 221, 'green': 124, 'blue': 17, 'alpha': None}, 'score': 0.07535475492477417, 'pixelFraction': 0.014503744430840015}, {'color': {'red': 107, 'green': 25, 'blue': 8, 'alpha': None}, 'score': 0.05256370082497597, 'pixelFraction': 0.01080671139061451}, {'color': {'red': 232, 'green': 194, 'blue': 100, 'alpha': None}, 'score': 0.027736380696296692, 'pixelFraction': 0.02976585365831852}, {'color': {'red': 236, 'green': 62, 'blue': 4, 'alpha': None}, 'score': 0.010503142140805721, 'pixelFraction': 0.0009479571599513292}, {'color': {'red': 97, 'green': 81, 'blue': 18, 'alpha': None}, 'score': 0.010259200818836689, 'pixelFraction': 0.00426580710336566}, {'color': {'red': 141, 'green': 119, 'blue': 26, 'alpha': None}, 'score': 0.007644360885024071, 'pixelFraction': 0.0034126457758247852}, {'color': {'red': 156, 'green': 163, 'blue': 22, 'alpha': None}, 'score': 0.0058310916647315025, 'pixelFraction': 0.003697032807394862}, {'color': {'red': 192, 'green': 221, 'blue': 20, 'alpha': None}, 'score': 0.0006682081148028374, 'pixelFraction': 0.005213764496147633}, {'color': {'red': 219, 'green': 145, 'blue': 28, 'alpha': None}, 'score': 0.059969957917928696, 'pixelFraction': 0.01535690575838089}]",48720,video_thumbnail,"{'red': 188, 'green': 84, 'blue': 7, 'alpha': None}",[188  84   7]
"[{'color': {'red': 247, 'green': 252, 'blue': 254, 'alpha': None}, 'score': 0.4992291331291199, 'pixelFraction': 0.7001774311065674}, {'color': {'red': 63, 'green': 81, 'blue': 113, 'alpha': None}, 'score': 0.04690174013376236, 'pixelFraction': 0.01876876875758171}, {'color': {'red': 30, 'green': 52, 'blue': 109, 'alpha': None}, 'score': 0.029142774641513824, 'pixelFraction': 0.0068250070326030254}, {'color': {'red': 111, 'green': 160, 'blue': 85, 'alpha': None}, 'score': 0.006111788097769022, 'pixelFraction': 0.022181272506713867}, {'color': {'red': 110, 'green': 73, 'blue': 60, 'alpha': None}, 'score': 0.004370617214590311, 'pixelFraction': 0.0060742562636733055}, {'color': {'red': 176, 'green': 202, 'blue': 131, 'alpha': None}, 'score': 0.0024449191987514496, 'pixelFraction': 0.0007507507689297199}, {'color': {'red': 117, 'green': 142, 'blue': 44, 'alpha': None}, 'score': 0.0007471084245480597, 'pixelFraction': 0.00020475020573940128}, {'color': {'red': 37, 'green': 53, 'blue': 80, 'alpha': None}, 'score': 0.03966213017702103, 'pixelFraction': 0.01624351553618908}, {'color': {'red': 112, 'green': 139, 'blue': 220, 'alpha': None}, 'score': 0.00034717313246801496, 'pixelFraction': 6.825006857980043e-05}, {'color': {'red': 41, 'green': 88, 'blue': 135, 'alpha': None}, 'score': 0.029129689559340477, 'pixelFraction': 0.008394758217036724}]",48546,mobile_background_image,"{'red': 247, 'green': 252, 'blue': 254, 'alpha': None}",[247 252 254]
"[{'color': {'red': 248, 'green': 253, 'blue': 253, 'alpha': None}, 'score': 0.39490994811058044, 'pixelFraction': 0.6837751269340515}, {'color': {'red': 32, 'green': 50, 'blue': 78, 'alpha': None}, 'score': 0.042818374931812286, 'pixelFraction': 0.019116465002298355}, {'color': {'red': 36, 'green': 84, 'blue': 132, 'alpha': None}, 'score': 0.036372505128383636, 'pixelFraction': 0.01148594357073307}, {'color': {'red': 164, 'green': 197, 'blue': 150, 'alpha': None}, 'score': 0.007065457291901112, 'pixelFraction': 0.0025702810380607843}, {'color': {'red': 112, 'green': 161, 'blue': 85, 'alpha': None}, 'score': 0.005600347649306059, 'pixelFraction': 0.006265060044825077}, {'color': {'red': 106, 'green': 71, 'blue': 58, 'alpha': None}, 'score': 0.003015346359461546, 'pixelFraction': 0.00401606410741806}, {'color': {'red': 16, 'green': 24, 'blue': 47, 'alpha': None}, 'score': 0.03869122266769409, 'pixelFraction': 0.01919678784906864}, {'color': {'red': 61, 'green': 82, 'blue': 113, 'alpha': None}, 'score': 0.03528168424963951, 'pixelFraction': 0.016305221244692802}, {'color': {'red': 24, 'green': 57, 'blue': 103, 'alpha': None}, 'score': 0.035077545791864395, 'pixelFraction': 0.011164658702909946}, {'color': {'red': 31, 'green': 50, 'blue': 105, 'alpha': None}, 'score': 0.03297574445605278, 'pixelFraction': 0.008995983749628067}]",48546,desktop_background_image,"{'red': 248, 'green': 253, 'blue': 253, 'alpha': None}",[248 253 253]
"[{'color': {'red': 50, 'green': 50, 'blue': 59, 'alpha': None}, 'score': 0.11136283725500107, 'pixelFraction': 0.11621955037117004}, {'color': {'red': 19, 'green': 56, 'blue': 101, 'alpha': None}, 'score': 0.10530668497085571, 'pixelFraction': 0.038392264395952225}, {'color': {'red': 197, 'green': 197, 'blue': 198, 'alpha': None}, 'score': 0.09878414124250412, 'pixelFraction': 0.17224381864070892}, {'color': {'red': 20, 'green': 28, 'blue': 52, 'alpha': None}, 'score': 0.09115089476108551, 'pixelFraction': 0.05081050470471382}, {'color': {'red': 151, 'green': 155, 'blue': 157, 'alpha': None}, 'score': 0.09470686316490173, 'pixelFraction': 0.14807090163230896}, {'color': {'red': 37, 'green': 48, 'blue': 72, 'alpha': None}, 'score': 0.08758800476789474, 'pixelFraction': 0.05223244056105614}, {'color': {'red': 28, 'green': 81, 'blue': 130, 'alpha': None}, 'score': 0.0863485336303711, 'pixelFraction': 0.03061901591718197}, {'color': {'red': 119, 'green': 122, 'blue': 124, 'alpha': None}, 'score': 0.07958130538463593, 'pixelFraction': 0.12076973915100098}, {'color': {'red': 82, 'green': 82, 'blue': 88, 'alpha': None}, 'score': 0.06329355388879776, 'pixelFraction': 0.07849085330963135}, {'color': {'red': 231, 'green': 233, 'blue': 234, 'alpha': None}, 'score': 0.056016985327005386, 'pixelFraction': 0.09280500560998917}]",48546,video_thumbnail,"{'red': 50, 'green': 50, 'blue': 59, 'alpha': None}",[50 50 59]
"[{'color': {'red': 2, 'green': 60, 'blue': 167, 'alpha': None}, 'score': 0.7229006290435791, 'pixelFraction': 0.6882424354553223}, {'color': {'red': 34, 'green': 82, 'blue': 175, 'alpha': None}, 'score': 0.07336321473121643, 'pixelFraction': 0.02581818215548992}, {'color': {'red': 175, 'green': 193, 'blue': 226, 'alpha': None}, 'score': 0.025988899171352386, 'pixelFraction': 0.018545454367995262}, {'color': {'red': 131, 'green': 158, 'blue': 211, 'alpha': None}, 'score': 0.02191999927163124, 'pixelFraction': 0.01345454528927803}, {'color': {'red': 185, 'green': 81, 'blue': 55, 'alpha': None}, 'score': 0.016669252887368202, 'pixelFraction': 0.01066666655242443}, {'color': {'red': 161, 'green': 53, 'blue': 38, 'alpha': None}, 'score': 0.006702994462102652, 'pixelFraction': 0.002303030341863632}, {'color': {'red': 233, 'green': 238, 'blue': 246, 'alpha': None}, 'score': 0.005456556566059589, 'pixelFraction': 0.08145454525947571}, {'color': {'red': 255, 'green': 108, 'blue': 23, 'alpha': None}, 'score': 0.0054527027532458305, 'pixelFraction': 0.0013333333190530539}, {'color': {'red': 174, 'green': 154, 'blue': 100, 'alpha': None}, 'score': 0.00426589185371995, 'pixelFraction': 0.0029090908356010914}, {'color': {'red': 151, 'green': 68, 'blue': 61, 'alpha': None}, 'score': 0.0037485938519239426, 'pixelFraction': 0.0035151515621691942}]",47796,lrg_image,"{'red': 2, 'green': 60, 'blue': 167, 'alpha': None}",[  2  60 167]
"[{'color': {'red': 122, 'green': 80, 'blue': 65, 'alpha': None}, 'score': 0.1922903209924698, 'pixelFraction': 0.16206349432468414}, {'color': {'red': 251, 'green': 242, 'blue': 237, 'alpha': None}, 'score': 0.09020141512155533, 'pixelFraction': 0.07999999821186066}, {'color': {'red': 145, 'green': 106, 'blue': 94, 'alpha': None}, 'score': 0.17587998509407043, 'pixelFraction': 0.10611110925674438}, {'color': {'red': 142, 'green': 111, 'blue': 110, 'alpha': None}, 'score': 0.12605801224708557, 'pixelFraction': 0.048650793731212616}, {'color': {'red': 130, 'green': 119, 'blue': 120, 'alpha': None}, 'score': 0.09169449657201767, 'pixelFraction': 0.10206349194049835}, {'color': {'red': 114, 'green': 82, 'blue': 81, 'alpha': None}, 'score': 0.06347881257534027, 'pixelFraction': 0.053412698209285736}, {'color': {'red': 167, 'green': 150, 'blue': 145, 'alpha': None}, 'score': 0.05788630247116089, 'pixelFraction': 0.039841268211603165}, {'color': {'red': 83, 'green': 42, 'blue': 32, 'alpha': None}, 'score': 0.03416568040847778, 'pixelFraction': 0.060079365968704224}, {'color': {'red': 171, 'green': 138, 'blue': 127, 'alpha': None}, 'score': 0.027594441547989845, 'pixelFraction': 0.0073015871457755566}, {'color': {'red': 205, 'green': 188, 'blue': 184, 'alpha': None}, 'score': 0.019996579736471176, 'pixelFraction': 0.031984128057956696}]",47796,thumbnail_cover,"{'red': 122, 'green': 80, 'blue': 65, 'alpha': None}",[122  80  65]
"[{'color': {'red': 247, 'green': 252, 'blue': 254, 'alpha': None}, 'score': 0.4992291331291199, 'pixelFraction': 0.7001774311065674}, {'color': {'red': 63, 'green': 81, 'blue': 113, 'alpha': None}, 'score': 0.04690174013376236, 'pixelFraction': 0.01876876875758171}, {'color': {'red': 30, 'green': 52, 'blue': 109, 'alpha': None}, 'score': 0.029142774641513824, 'pixelFraction': 0.0068250070326030254}, {'color': {'red': 111, 'green': 160, 'blue': 85, 'alpha': None}, 'score': 0.006111788097769022, 'pixelFraction': 0.022181272506713867}, {'color': {'red': 110, 'green': 73, 'blue': 60, 'alpha': None}, 'score': 0.004370617214590311, 'pixelFraction': 0.0060742562636733055}, {'color': {'red': 176, 'green': 202, 'blue': 131, 'alpha': None}, 'score': 0.0024449191987514496, 'pixelFraction': 0.0007507507689297199}, {'color': {'red': 117, 'green': 142, 'blue': 44, 'alpha': None}, 'score': 0.0007471084245480597, 'pixelFraction': 0.00020475020573940128}, {'color': {'red': 37, 'green': 53, 'blue': 80, 'alpha': None}, 'score': 0.03966213017702103, 'pixelFraction': 0.01624351553618908}, {'color': {'red': 112, 'green': 139, 'blue': 220, 'alpha': None}, 'score': 0.00034717313246801496, 'pixelFraction': 6.825006857980043e-05}, {'color': {'red': 41, 'green': 88, 'blue': 135, 'alpha': None}, 'score': 0.029129689559340477, 'pixelFraction': 0.008394758217036724}]",48547,mobile_background_image,"{'red': 247, 'green': 252, 'blue': 254, 'alpha': None}",[247 252 254]
"[{'color': {'red': 248, 'green': 253, 'blue': 253, 'alpha': None}, 'score': 0.39490994811058044, 'pixelFraction': 0.6837751269340515}, {'color': {'red': 32, 'green': 50, 'blue': 78, 'alpha': None}, 'score': 0.042818374931812286, 'pixelFraction': 0.019116465002298355}, {'color': {'red': 36, 'green': 84, 'blue': 132, 'alpha': None}, 'score': 0.036372505128383636, 'pixelFraction': 0.01148594357073307}, {'color': {'red': 164, 'green': 197, 'blue': 150, 'alpha': None}, 'score': 0.007065457291901112, 'pixelFraction': 0.0025702810380607843}, {'color': {'red': 112, 'green': 161, 'blue': 85, 'alpha': None}, 'score': 0.005600347649306059, 'pixelFraction': 0.006265060044825077}, {'color': {'red': 106, 'green': 71, 'blue': 58, 'alpha': None}, 'score': 0.003015346359461546, 'pixelFraction': 0.00401606410741806}, {'color': {'red': 16, 'green': 24, 'blue': 47, 'alpha': None}, 'score': 0.03869122266769409, 'pixelFraction': 0.01919678784906864}, {'color': {'red': 61, 'green': 82, 'blue': 113, 'alpha': None}, 'score': 0.03528168424963951, 'pixelFraction': 0.016305221244692802}, {'color': {'red': 24, 'green': 57, 'blue': 103, 'alpha': None}, 'score': 0.035077545791864395, 'pixelFraction': 0.011164658702909946}, {'color': {'red': 31, 'green': 50, 'blue': 105, 'alpha': None}, 'score': 0.03297574445605278, 'pixelFraction': 0.008995983749628067}]",48547,desktop_background_image,"{'red': 248, 'green': 253, 'blue': 253, 'alpha': None}",[248 253 253]
